wavelength_um,mirror_reflectance,sol_best_emitter_emissivity,planck_1300K_w_m2_um
2.81,0.99999825,0.79005022,42419.677
2.821,0.99999939,0.77783476,42255.857
2.832,0.99999971,0.7655511,42090.95
2.843,0.99999983,0.7532966,41925.006
2.854,0.99999989,0.74115517,41758.075
2.865,0.99999993,0.72919811,41590.205
2.876,0.99999995,0.71748516,41421.443
2.887,0.99999996,0.7060656,41251.837
2.898,0.99999997,0.69497933,41081.431
2.909,0.99999997,0.68425799,40910.271
2.92,0.99999997,0.67392599,40738.399
2.931,0.99999998,0.66400151,40565.858
2.942,0.99999998,0.65449739,40392.69
2.953,0.99999998,0.6454219,40218.936
2.964,0.99999998,0.63677952,40044.634
2.975,0.99999998,0.62857158,39869.824
2.986,0.99999998,0.62079678,39694.544
2.997,0.99999997,0.61345169,39518.83
3.008,0.99999997,0.60653123,39342.719
3.019,0.99999996,0.60002894,39166.246
3.03,0.99999996,0.59393738,38989.445
3.041,0.99999994,0.58824829,38812.35
3.052,0.99999992,0.58295292,38634.994
3.063,0.99999989,0.57804212,38457.408
3.074,0.99999984,0.57350652,38279.624
3.085,0.99999972,0.56933669,38101.671
3.096,0.99999944,0.56552318,37923.581
3.107,0.99999855,0.56205663,37745.381
3.118,0.99999253,0.55892784,37567.1
3.129,0.99977922,0.55612782,37388.764
3.14,0.99999396,0.5536478,37210.402
3.151,0.99999797,0.55147929,37032.038
3.162,0.99999886,0.54961407,36853.699
3.173,0.9999992,0.54804422,36675.408
3.184,0.99999937,0.54676212,36497.19
3.195,0.99999947,0.54576048,36319.068
3.206,0.99999954,0.54503226,36141.065
3.217,0.9999996,0.54457076,35963.204
3.228,0.99999966,0.54436953,35785.504
3.239,0.99999973,0.54442242,35607.988
3.25,0.99999979,0.54472353,35430.676
3.261,0.99999984,0.5452672,35253.588
3.272,0.99999988,0.54604801,35076.742
3.283,0.99999991,0.54706075,34900.157
3.294,0.99999993,0.54830041,34723.852
3.305,0.99999994,0.54976216,34547.844
3.316,0.99999995,0.55144134,34372.15
3.327,0.99999996,0.55333343,34196.786
3.338,0.99999997,0.55543403,34021.77
3.349,0.99999997,0.55773884,33847.115
3.36,0.99999997,0.56024367,33672.838
3.371,0.99999998,0.56294438,33498.953
3.382,0.99999998,0.5658369,33325.474
3.393,0.99999998,0.56891717,33152.415
3.404,0.99999998,0.57218115,32979.789
3.415,0.99999998,0.57562481,32807.61
3.426,0.99999998,0.57924406,32635.889
3.437,0.99999998,0.5830348,32464.638
3.448,0.99999998,0.58699286,32293.87
3.459,0.99999998,0.59111397,32123.595
3.47,0.99999998,0.59539379,31953.824
3.481,0.99999998,0.59982785,31784.568
3.492,0.99999998,0.60441154,31615.837
3.503,0.99999998,0.60914012,31447.641
3.514,0.99999998,0.61400866,31279.989
3.525,0.99999998,0.61901207,31112.89
3.536,0.99999997,0.62414505,30946.354
3.547,0.99999997,0.6294021,30780.387
3.558,0.99999996,0.63477747,30614.999
3.569,0.99999996,0.64026522,30450.197
3.58,0.99999995,0.64585911,30285.989
3.591,0.99999994,0.65155267,30122.382
3.602,0.99999993,0.65733917,29959.383
3.613,0.99999991,0.66321157,29796.998
3.624,0.99999989,0.6691626,29635.234
3.635,0.99999986,0.67518466,29474.097
3.646,0.99999984,0.68126989,29313.592
3.657,0.99999981,0.68741013,29153.726
3.668,0.9999998,0.69359694,28994.503
3.679,0.99999979,0.69982161,28835.928
3.69,0.9999998,0.70607512,28678.007
3.701,0.99999981,0.71234823,28520.743
3.712,0.99999983,0.71863142,28364.142
3.723,0.99999985,0.72491493,28208.207
3.734,0.99999986,0.73118878,28052.942
3.745,0.99999988,0.73744278,27898.351
3.756,0.99999989,0.74366657,27744.438
3.767,0.9999999,0.74984961,27591.205
