wavelength_um,reflectance,emissivity
1.798012624,0.09701621466,0.9029837853
1.801575951,0.1124688997,0.8875311003
1.805139277,0.1285815612,0.8714184388
1.808702604,0.1452405677,0.8547594323
1.81226593,0.162335512,0.837664488
1.815829256,0.1797606279,0.8202393721
1.819392583,0.1974159323,0.8025840677
1.822955909,0.2152080938,0.7847919062
1.826519236,0.2330510446,0.7669489554
1.830082562,0.2508663541,0.7491336459
1.833645889,0.2685833929,0.7314166071
1.837209215,0.2861393168,0.7138606832
1.840772542,0.3034789006,0.6965210994
1.844335868,0.3205542529,0.6794457471
1.847899195,0.3373244401,0.6626755599
1.851462521,0.3537550443,0.6462449557
1.855025848,0.3698176797,0.6301823203
1.858589174,0.3854894841,0.6145105159
1.862152501,0.4007526043,0.5992473957
1.865715827,0.4155936857,0.5844063143
1.869279154,0.4300033782,0.5699966218
1.87284248,0.4439758637,0.5560241363
1.876405807,0.4575084125,0.5424915875
1.879969133,0.4706009698,0.5293990302
1.88353246,0.4832557767,0.5167442233
1.887095786,0.4954770229,0.5045229771
1.890659113,0.5072705346,0.4927294654
1.894222439,0.5186434932,0.4813565068
1.897785766,0.5296041857,0.4703958143
1.901349092,0.5401617838,0.4598382162
1.904912419,0.5503261496,0.4496738504
1.908475745,0.560107666,0.439892334
1.912039072,0.5695170899,0.4304829101
1.915602398,0.5785654256,0.4214345744
1.919165725,0.5872638164,0.4127361836
1.922729051,0.5956234521,0.4043765479
1.926292378,0.6036554919,0.3963445081
1.929855704,0.6113709992,0.3886290008
1.933419031,0.6187808883,0.3812191117
1.936982357,0.6258958797,0.3741041203
1.940545684,0.6327264657,0.3672735343
1.94410901,0.6392828819,0.3607171181
1.947672337,0.6455750855,0.3544249145
1.951235663,0.6516127395,0.3483872605
1.954798989,0.6574052009,0.3425947991
1.958362316,0.662961513,0.337038487
1.961925642,0.6682904016,0.3317095984
1.965488969,0.6734002733,0.3265997267
1.969052295,0.6782992162,0.3217007838
1.972615622,0.6829950029,0.3170049971
1.976178948,0.687495095,0.312504905
1.979742275,0.6918066484,0.3081933516
1.983305601,0.6959365203,0.3040634797
1.986868928,0.6998912761,0.3001087239
1.990432254,0.7036771978,0.2963228022
1.993995581,0.7073002925,0.2926997075
1.997558907,0.7107663008,0.2892336992
2.001122234,0.7140807059,0.2859192941
2.00468556,0.7172487424,0.2827512576
2.008248887,0.7202754057,0.2797245943
2.011812213,0.7231654605,0.2768345395
2.01537554,0.7259234498,0.2740765502
2.018938866,0.7285537038,0.2714462962
2.022502193,0.7310603477,0.2689396523
2.026065519,0.7334473109,0.2665526891
2.029628846,0.7357183341,0.2642816659
2.033192172,0.7378769778,0.2621230222
2.036755499,0.7399266294,0.2600733706
2.040318825,0.7418705105,0.2581294895
2.043882152,0.743711684,0.256288316
2.047445478,0.7454530605,0.2545469395
2.051008805,0.7470974051,0.2529025949
2.054572131,0.7486473433,0.2513526567
2.058135458,0.7501053669,0.2498946331
2.061698784,0.7514738396,0.2485261604
2.065262111,0.7527550025,0.2472449975
2.068825437,0.7539509791,0.2460490209
2.072388764,0.7550637802,0.2449362198
2.07595209,0.7560953084,0.2439046916
2.079515417,0.757047363,0.242952637
