# frame, leg, t, axis x, axis y, axis z, best n, diff %
128, 1, 0.4222, 0.424268, -0.132887, -0.895733, 2, 73.0365
129, 1, 0.4333, 0.425914, -0.136355, -0.894430, 2, 73.1356
130, 1, 0.4444, 0.427553, -0.139821, -0.893112, 2, 72.9665
131, 1, 0.4556, 0.429184, -0.143285, -0.891779, 2, 73.5843
132, 1, 0.4667, 0.430809, -0.146746, -0.890432, 2, 74.3205
133, 1, 0.4778, 0.432427, -0.150205, -0.889070, 2, 74.7771
134, 1, 0.4889, 0.434037, -0.153662, -0.887694, 2, 75.0878
135, 1, 0.5000, 0.435640, -0.157116, -0.886303, 2, 75.4320
136, 1, 0.5111, 0.437236, -0.160567, -0.884897, 2, 75.1159
137, 1, 0.5222, 0.438825, -0.164016, -0.883477, 2, 75.1938
138, 1, 0.5333, 0.440407, -0.167462, -0.882042, 2, 75.0128
139, 1, 0.5444, 0.441982, -0.170905, -0.880593, 2, 73.8964
140, 1, 0.5556, 0.443549, -0.174346, -0.879129, 2, 73.1760
141, 1, 0.5667, 0.445109, -0.177783, -0.877651, 2, 73.5715
142, 1, 0.5778, 0.446661, -0.181218, -0.876158, 2, 72.9078
143, 1, 0.5889, 0.448207, -0.184649, -0.874652, 2, 72.6277
144, 1, 0.6000, 0.449745, -0.188078, -0.873130, 2, 72.4566
145, 1, 0.6111, 0.451275, -0.191504, -0.871595, 2, 72.0750
146, 1, 0.6222, 0.452798, -0.194926, -0.870045, 2, 71.4038
147, 1, 0.6333, 0.454314, -0.198345, -0.868480, 2, 71.1622
148, 1, 0.6444, 0.455822, -0.201761, -0.866902, 2, 71.8417
149, 1, 0.6556, 0.457323, -0.205174, -0.865309, 2, 71.9758
150, 1, 0.6667, 0.458816, -0.208583, -0.863702, 2, 71.7993
151, 1, 0.6778, 0.460302, -0.211989, -0.862081, 2, 72.1795
152, 1, 0.6889, 0.461780, -0.215391, -0.860445, 2, 72.3284
153, 1, 0.7000, 0.463250, -0.218790, -0.858796, 2, 72.1578
154, 1, 0.7111, 0.464713, -0.222185, -0.857132, 2, 72.1869
155, 1, 0.7222, 0.466169, -0.225577, -0.855454, 2, 71.9980
156, 1, 0.7333, 0.467616, -0.228965, -0.853762, 2, 71.8452
157, 1, 0.7444, 0.469056, -0.232349, -0.852057, 2, 71.6770
158, 1, 0.7556, 0.470488, -0.235729, -0.850337, 2, 71.3417
159, 1, 0.7667, 0.471913, -0.239105, -0.848603, 2, 71.6233
160, 1, 0.7778, 0.473329, -0.242478, -0.846855, 2, 71.7978
161, 1, 0.7889, 0.474738, -0.245846, -0.845094, 2, 71.1558
162, 1, 0.8000, 0.476140, -0.249211, -0.843318, 2, 69.6154
163, 1, 0.8111, 0.477533, -0.252571, -0.841529, 2, 68.7436
164, 1, 0.8222, 0.478918, -0.255927, -0.839725, 2, 69.1228
165, 1, 0.8333, 0.480296, -0.259279, -0.837908, 2, 68.9956
166, 1, 0.8444, 0.481666, -0.262627, -0.836077, 2, 70.0720
167, 1, 0.8556, 0.483027, -0.265970, -0.834233, 2, 70.7179
168, 1, 0.8667, 0.484381, -0.269309, -0.832375, 2, 70.4689
169, 1, 0.8778, 0.485727, -0.272644, -0.830503, 2, 70.3511
170, 1, 0.8889, 0.487065, -0.275974, -0.828617, 2, 69.9596
171, 1, 0.9000, 0.488395, -0.279300, -0.826718, 2, 67.9842
172, 1, 0.9111, 0.489717, -0.282621, -0.824805, 2, 66.6302
173, 1, 0.9222, 0.491030, -0.285937, -0.822878, 2, 65.6785
174, 1, 0.9333, 0.492336, -0.289249, -0.820939, 2, 64.3102
175, 1, 0.9444, 0.493634, -0.292556, -0.818985, 2, 61.3743
176, 1, 0.9556, 0.494923, -0.295858, -0.817018, 2, 55.9640
177, 1, 0.9667, 0.496205, -0.299155, -0.815038, 2, 48.4349
178, 1, 0.9778, 0.497478, -0.302447, -0.813044, 2, 39.4093
179, 1, 0.9889, 0.498743, -0.305735, -0.811037, 2, 26.8738
180, 2, 0.0000, 0.500000, -0.309017, -0.809017, 2, 0.0000
181, 2, 0.0111, 0.495014, -0.312087, -0.810902, 2, 34.7505
182, 2, 0.0222, 0.490010, -0.315144, -0.812757, 2, 49.7179
183, 2, 0.0333, 0.484987, -0.318190, -0.814581, 2, 61.1534
184, 2, 0.0444, 0.479946, -0.321224, -0.816374, 2, 64.9975
185, 2, 0.0556, 0.474887, -0.324246, -0.818136, 2, 67.3679
186, 2, 0.0667, 0.469810, -0.327255, -0.819868, 2, 69.3708
187, 2, 0.0778, 0.464715, -0.330252, -0.821568, 2, 70.5350
188, 2, 0.0889, 0.459602, -0.333236, -0.823237, 2, 71.2002
189, 2, 0.1000, 0.454472, -0.336208, -0.824875, 2, 71.5991
190, 2, 0.1111, 0.449325, -0.339167, -0.826482, 2, 72.8767
191, 2, 0.1222, 0.444160, -0.342114, -0.828058, 2, 73.6257
192, 2, 0.1333, 0.438979, -0.345047, -0.829602, 2, 73.7653
193, 2, 0.1444, 0.433782, -0.347967, -0.831115, 2, 73.5957
194, 2, 0.1556, 0.428568, -0.350875, -0.832596, 2, 73.6711
195, 2, 0.1667, 0.423337, -0.353768, -0.834046, 2, 74.0079
196, 2, 0.1778, 0.418091, -0.356649, -0.835465, 2, 73.7885
197, 2, 0.1889, 0.412829, -0.359516, -0.836851, 2, 74.2692
198, 2, 0.2000, 0.407551, -0.362369, -0.838207, 2, 74.8462
199, 2, 0.2111, 0.402258, -0.365209, -0.839530, 2, 74.6588
200, 2, 0.2222, 0.396950, -0.368035, -0.840822, 2, 74.7663
201, 2, 0.2333, 0.391627, -0.370847, -0.842081, 2, 74.5537
202, 2, 0.2444, 0.386288, -0.373645, -0.843309, 2, 74.3851
203, 2, 0.2556, 0.380936, -0.376429, -0.844506, 2, 74.1736
204, 2, 0.2667, 0.375568, -0.379198, -0.845670, 2, 72.6721
205, 2, 0.2778, 0.370187, -0.381953, -0.846802, 2, 72.8994
206, 2, 0.2889, 0.364791, -0.384694, -0.847902, 2, 73.3891
207, 2, 0.3000, 0.359382, -0.387420, -0.848970, 2, 74.0227
208, 2, 0.3111, 0.353959, -0.390132, -0.850006, 2, 74.1366
209, 2, 0.3222, 0.348523, -0.392829, -0.851009, 2, 73.6755
