inner,mid,zoom,rx,ry,rz,level,faces,pents,chi,coords,mantissa_ones,density,powers_of_two,short_tail,worst,ink,l_entropy,distinct,net_digest,image,netfile
0.50,0.28,760,0.35,2.4,0,3,10292,12,2,185220,4759146,0.494126,2032,0,39,0.176658,1.328458,336,46a8a8f177a08dbb,img_i0.50_m0.28_v3.png,net_i0.50_m0.28_lv3.gosnet
0.50,0.50,180,0,0,0,3,10292,12,2,185220,4734578,0.491575,2068,0,40,0.255583,1.937166,451,5a7e1177ba70b1b1,img_i0.50_m0.50_v0.png,net_i0.50_m0.50_lv3.gosnet
0.50,0.50,260,0.35,0.6,0,3,10292,12,2,185220,4734578,0.491575,2068,0,40,0.439280,3.890477,1379,5a7e1177ba70b1b1,img_i0.50_m0.50_v1.png,net_i0.50_m0.50_lv3.gosnet
0.50,0.50,420,0.9,1.2,0.3,3,10292,12,2,185220,4734578,0.491575,2068,0,40,0.243672,2.109917,803,5a7e1177ba70b1b1,img_i0.50_m0.50_v2.png,net_i0.50_m0.50_lv3.gosnet
0.50,0.50,760,0.35,2.4,0,3,10292,12,2,185220,4734578,0.491575,2068,0,40,0.118860,0.998118,328,5a7e1177ba70b1b1,img_i0.50_m0.50_v3.png,net_i0.50_m0.50_lv3.gosnet
0.50,0.73,180,0,0,0,3,10292,12,2,185220,4734734,0.491591,2068,0,39,0.271726,2.104352,475,f9ca1ae442692761,img_i0.50_m0.73_v0.png,net_i0.50_m0.73_lv3.gosnet
0.50,0.73,260,0.35,0.6,0,3,10292,12,2,185220,4734734,0.491591,2068,0,39,0.472266,4.153972,1387,f9ca1ae442692761,img_i0.50_m0.73_v1.png,net_i0.50_m0.73_lv3.gosnet
0.50,0.73,420,0.9,1.2,0.3,3,10292,12,2,185220,4734734,0.491591,2068,0,39,0.280269,2.400574,858,f9ca1ae442692761,img_i0.50_m0.73_v2.png,net_i0.50_m0.73_lv3.gosnet
0.50,0.73,760,0.35,2.4,0,3,10292,12,2,185220,4734734,0.491591,2068,0,39,0.149919,1.198848,368,f9ca1ae442692761,img_i0.50_m0.73_v3.png,net_i0.50_m0.73_lv3.gosnet
0.50,0.95,180,0,0,0,3,10292,12,2,185220,4710388,0.489064,2068,0,37,0.301399,2.300441,478,edc20dcddb0ccbd1,img_i0.50_m0.95_v0.png,net_i0.50_m0.95_lv3.gosnet
0.50,0.95,260,0.35,0.6,0,3,10292,12,2,185220,4710388,0.489064,2068,0,37,0.536946,4.556434,1374,edc20dcddb0ccbd1,img_i0.50_m0.95_v1.png,net_i0.50_m0.95_lv3.gosnet
0.50,0.95,420,0.9,1.2,0.3,3,10292,12,2,185220,4710388,0.489064,2068,0,37,0.331311,2.682143,894,edc20dcddb0ccbd1,img_i0.50_m0.95_v2.png,net_i0.50_m0.95_lv3.gosnet
0.50,0.95,760,0.35,2.4,0,3,10292,12,2,185220,4710388,0.489064,2068,0,37,0.186011,1.371222,372,edc20dcddb0ccbd1,img_i0.50_m0.95_v3.png,net_i0.50_m0.95_lv3.gosnet
